,y
0,3
1,3
2,1
3,2
4,1
5,1
6,1
7,3
8,2
9,1
10,1
11,3
12,1
13,1
14,1
15,1
16,1
17,1
18,2
19,3
20,1
21,1
22,1
23,1
24,2
25,2
26,2
27,1
28,0
29,1
30,1
31,1
32,2
33,1
34,2
35,1
36,0
37,1
38,2
39,0
40,3
41,0
42,3
43,1
44,3
45,1
46,3
47,0
48,0
49,1
50,2
51,2
52,1
53,1
54,1
55,1
56,2
57,0
58,3
59,1
60,1
61,1
62,1
63,3
64,1
65,1
66,2
67,2
68,1
69,2
70,0
71,0
72,1
73,3
74,1
75,1
76,1
77,1
78,3
79,2
80,1
81,3
82,2
83,1
84,3
85,3
86,1
87,1
88,1
89,1
90,0
91,3
92,2
93,2
94,3
95,1
96,1
97,3
98,1
99,3
100,2
101,1
102,2
103,1
104,3
105,3
106,0
107,2
108,0
109,3
110,1
111,1
112,2
113,3
114,1
115,1
116,1
117,2
118,2
119,1
120,1
121,1
122,1
123,2
124,3
125,3
126,3
127,1
128,1
129,1
130,3
131,1
132,1
133,1
134,1
135,1
136,1
137,3
138,3
139,1
140,1
141,1
142,3
143,3
144,3
145,3
146,1
147,1
148,3
149,3
150,3
151,3
152,1
153,1
154,1
155,3
156,1
157,1
158,3
159,0
160,1
161,3
162,1
163,3
164,3
165,3
166,1
167,3
168,1
169,1
170,2
171,2
172,3
173,3
174,0
175,1
176,2
177,1
178,1
179,3
180,2
181,1
182,3
183,1
184,3
185,1
186,2
187,2
188,1
189,1
190,1
191,3
192,1
193,1
194,1
195,3
196,2
197,3
198,3
199,1
200,3
201,2
202,2
203,2
204,2
205,1
206,1
207,1
208,1
209,0
210,1
211,2
212,2
213,1
214,1
215,2
216,1
217,3
218,3
219,1
220,2
221,1
222,1
223,0
224,1
225,3
226,1
227,1
228,1
229,2
230,1
231,3
232,1
233,1
234,2
235,1
236,1
237,1
238,1
239,2
240,3
241,1
242,3
243,3
244,1
245,3
246,1
247,3
248,1
249,1
250,3
251,3
252,2
253,3
254,3
255,3
256,1
257,3
258,2
259,2
260,2
261,2
262,2
263,2
264,3
265,1
266,3
267,2
268,3
269,1
270,2
271,2
272,1
273,1
274,1
275,2
276,1
277,3
278,1
279,2
280,1
281,1
282,1
283,3
284,3
285,1
286,3
287,2
288,3
289,3
290,3
291,1
292,1
293,3
294,1
295,3
296,2
297,1
298,1
299,2
300,0
301,1
302,2
303,1
304,1
305,3
306,3
307,1
308,1
309,3
310,1
311,2
312,3
313,3
314,1
315,1
316,3
317,1
318,3
319,1
320,3
321,1
322,2
323,1
324,1
325,0
326,1
327,1
328,2
329,3
330,3
331,1
332,1
333,1
334,1
335,1
336,1
337,3
338,1
339,2
340,3
341,1
342,3
343,3
344,1
345,2
346,1
347,2
348,2
349,1
350,1
351,3
352,1
353,3
354,1
355,1
356,2
357,2
358,1
359,1
360,3
361,3
362,0
363,1
364,1
365,1
366,3
367,3
368,2
369,1
370,3
371,1
372,1
373,3
374,1
375,3
376,3
377,0
378,3
379,1
380,3
381,1
382,2
383,3
384,1
385,3
386,2
387,1
388,2
389,2
390,2
391,2
392,1
393,1
394,1
395,3
396,2
397,1
398,3
399,3
400,1
401,1
402,3
403,3
404,1
405,2
406,1
407,3
408,2
409,3
410,2
411,1
412,2
413,0
414,1
415,1
416,2
417,3
418,2
419,1
420,1
421,1
422,2
423,1
424,1
425,3
426,1
427,1
428,3
429,1
430,2
431,3
432,0
433,3
434,2
435,1
436,1
437,3
438,1
439,1
440,1
441,1
442,1
443,3
444,3
445,2
446,0
447,1
448,2
449,2
450,0
451,2
452,1
453,2
454,1
455,2
456,1
457,3
458,1
459,3
460,3
461,0
462,3
463,1
464,3
465,1
466,1
467,3
468,1
469,1
470,1
471,3
472,1
473,3
474,0
475,1
476,1
477,3
478,3
479,2
480,2
481,1
482,3
483,3
484,1
485,1
486,0
487,1
488,3
489,1
490,3
491,3
492,1
493,1
494,3
495,3
496,3
497,2
498,2
499,1
500,3
501,1
502,3
503,1
504,3
505,3
506,2
507,2
508,1
509,1
510,3
511,1
512,1
513,2
514,1
515,2
516,3
517,3
518,2
519,3
520,2
521,3
522,1
523,1
524,3
525,1
526,2
527,1
528,3
529,3
530,1
531,3
532,0
533,0
534,1
535,2
536,2
537,1
538,1
539,1
540,1
541,1
542,1
543,2
544,1
545,0
546,3
547,1
548,2
549,1
550,1
551,1
552,0
553,2
554,3
555,2
556,0
557,1
558,3
559,3
560,1
561,2
562,1
563,2
564,3
565,1
566,2
567,3
568,2
569,1
570,1
571,1
572,3
573,3
574,1
575,3
576,1
577,2
578,1
579,1
580,1
581,1
582,3
583,3
584,3
585,1
586,3
587,1
588,3
589,1
590,3
591,2
592,1
593,3
594,1
595,1
596,1
597,0
598,2
599,1
600,3
601,1
602,2
603,2
604,3
605,1
606,1
607,1
608,1
609,3
610,3
611,1
612,1
613,2
614,0
615,2
616,1
617,1
618,3
619,3
620,1
621,1
622,3
623,1
624,2
625,1
626,2
627,3
628,3
629,1
630,1
631,1
632,1
633,3
634,2
635,3
636,3
637,1
638,1
639,3
640,0
641,1
642,1
643,1
644,3
645,1
646,1
647,3
648,1
649,1
650,1
651,1
652,1
653,3
654,3
655,1
656,3
657,3
658,1
659,0
660,1
661,3
662,2
663,2
664,3
665,0
666,1
667,3
668,1
669,2
670,2
671,1
672,0
673,2
674,3
675,1
676,0
677,2
678,1
679,0
680,2
681,3
682,3
683,3
684,0
685,1
686,2
687,3
688,3
689,2
690,1
691,3
692,2
693,1
694,3
695,3
696,1
697,0
698,3
699,1
700,1
701,2
702,3
703,1
704,1
705,3
706,2
707,1
708,0
709,3
710,0
711,1
712,1
713,3
714,3
715,2
716,1
717,3
718,3
719,3
720,3
721,1
722,3
723,1
724,3
725,1
726,1
727,3
728,1
729,2
730,2
731,1
732,1
733,2
734,1
735,0
736,3
737,1
738,1
739,1
740,1
741,3
742,1
743,3
744,3
745,3
746,3
747,2
748,1
749,1
750,1
751,1
752,1
753,3
754,1
755,1
756,3
757,1
758,3
759,1
760,3
761,3
762,2
763,3
764,1
765,2
766,1
767,1
768,1
769,2
770,3
771,1
772,1
773,1
774,1
775,1
776,3
777,1
778,1
779,2
780,1
781,1
782,2
783,2
784,1
785,1
786,1
787,3
788,1
789,2
790,3
791,1
792,1
793,1
794,1
795,3
796,1
797,1
798,1
799,1
800,0
801,1
802,1
803,2
804,1
805,1
806,3
807,2
808,1
809,1
810,3
811,2
812,3
813,3
814,3
815,1
816,2
817,3
818,0
819,1
820,2
821,1
822,1
823,3
824,1
825,2
826,1
827,3
828,3
829,1
830,1
831,3
832,2
833,1
834,3
835,3
836,3
837,2
838,1
839,3
840,3
841,2
842,3
843,0
844,2
845,1
846,1
847,1
848,1
849,1
850,1
851,2
852,1
853,1
854,3
855,1
856,1
857,2
858,0
859,3
860,2
861,2
862,2
863,3
864,1
865,3
866,3
867,1
868,1
869,3
870,2
871,3
872,3
873,2
874,1
875,0
876,3
877,3
878,2
879,2
880,1
881,3
